date,entry_time,side,setup,grade,daily_bias,ovn_pos,exit_reason,pnl,win,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr
2026-05-11,11:40,LONG,PM_LONG,A,BOTH,0.459,stop,78.76,1,3.448,21.5,0,61.96,-0.1014,1,503.2,1,1,1,33.5
2026-05-13,10:30,LONG,OPEN_LONG,A+,BOTH,0.587,stop,108.26,1,0.162,28.17,0,60.31,-0.2611,1,149.5,1,1,1,72.5
2026-05-13,11:30,LONG,OPEN_LONG,A+,BOTH,0.587,stop,82.76,1,0.873,11.92,0,58.79,-0.266,1,196.8,1,1,1,40.7
2026-05-14,13:15,SHORT,VWAP_SHORT,A,SHORT,0.12,stop,-121.74,0,3.498,16.92,1,56.59,0.0606,1,471.2,1,1,0,40.2
2026-05-18,11:15,SHORT,PM_SHORT,A+,BOTH,0.836,stop,-0.74,0,3.664,46.35,0,49.28,0.0358,0,-149.0,0,0,1,90.3
2026-05-18,13:20,SHORT,PM_SHORT,A+,BOTH,0.836,stop,233.76,1,5.91,75.85,0,46.38,-0.028,0,-178.5,0,0,1,61.0
2026-05-19,10:40,SHORT,PM_SHORT,A+,SHORT,0.124,stop,96.76,1,1.082,14.17,0,30.96,0.0486,0,-478.0,0,0,1,98.2
2026-05-19,10:55,SHORT,OPEN_SHORT,A,SHORT,0.124,stop,-0.74,0,0.538,31.59,0,33.21,0.0553,0,-417.5,0,0,1,85.0
2026-05-20,10:30,LONG,PM_LONG,A+,BOTH,0.74,stop,90.76,1,1.581,17.5,0,72.53,-0.4338,1,367.0,1,1,1,89.2
2026-05-20,11:05,LONG,PM_LONG,A+,BOTH,0.74,stop,255.26,1,2.613,23.46,0,72.28,-0.449,1,409.8,1,1,1,70.3
2026-05-22,10:35,LONG,PM_LONG,A+,BOTH,0.634,stop,154.76,1,0.386,4.67,0,53.94,-0.0386,1,383.8,1,1,1,65.3
2026-05-22,11:15,LONG,PM_LONG,A+,BOTH,0.634,stop,-111.74,0,3.244,72.26,0,67.15,-0.0128,1,478.0,1,1,1,36.8
2026-05-26,10:30,LONG,PM_LONG,A+,BOTH,0.812,stop,-0.74,0,3.537,86.08,0,80.73,0.1424,1,483.5,1,1,1,49.8
2026-05-26,10:50,LONG,PM_LONG,A+,BOTH,0.812,stop,-123.74,0,4.2,81.33,0,80.51,0.1557,1,478.8,1,1,1,40.8
2026-05-27,11:45,SHORT,PM_SHORT,A+,BOTH,0.455,stop,-143.74,0,6.032,13.49,0,32.86,0.1635,1,13.0,0,0,1,47.5
2026-05-29,10:30,LONG,PM_LONG,A+,LONG,0.993,stop,-149.74,0,1.091,7.06,0,70.22,0.2931,1,341.2,1,1,1,49.5
2026-05-29,11:05,LONG,PM_LONG,A+,LONG,0.993,vwap_cross,12.76,1,0.12,4.04,0,62.36,0.2762,1,294.5,1,1,1,60.7
2026-06-02,10:30,LONG,PM_LONG,A+,LONG,0.885,stop,121.26,1,0.696,56.58,0,76.99,0.1449,1,232.2,1,1,1,56.0
2026-06-02,11:30,LONG,PM_LONG,A+,LONG,0.885,stop,-0.74,0,3.734,18.32,0,88.92,0.1288,1,309.0,1,1,1,31.0
2026-06-03,11:25,LONG,VWAP_LONG,A,BOTH,0.81,stop,-133.74,0,1.947,44.47,0,48.52,-0.0068,1,151.8,0,1,0,44.2
2026-06-03,13:10,SHORT,PM_SHORT,A+,BOTH,0.81,stop,-123.24,0,5.195,50.17,0,35.83,-0.0545,1,26.5,0,0,1,40.7
2026-06-05,10:30,SHORT,PM_SHORT,A+,SHORT,0.092,stop,109.76,1,1.67,76.67,0,26.13,-0.0437,0,-381.5,0,0,1,81.0
2026-06-05,10:50,SHORT,PM_SHORT,A+,SHORT,0.092,stop,96.76,1,2.644,11.42,0,21.93,-0.0521,0,-446.8,0,0,1,75.8
2026-06-08,10:40,LONG,MOM_LONG,A+,LONG,0.905,stop,178.76,1,0.251,142.67,0,63.11,0.0194,0,-499.8,1,1,1,94.5
2026-06-08,10:55,LONG,PM_LONG,A+,LONG,0.905,stop,85.76,1,1.743,88.17,0,66.45,0.0169,0,-373.0,1,1,1,86.3
2026-06-11,11:45,LONG,OPEN_LONG,A,BOTH,0.727,stop,-0.74,0,0.753,21.67,0,59.29,-0.0152,0,-38.0,1,1,1,98.7
2026-06-15,10:30,LONG,PM_LONG,A+,LONG,0.991,stop,95.76,1,1.523,328.67,0,90.37,-0.1384,1,1241.8,1,1,1,64.5
2026-06-15,11:05,LONG,PM_LONG,A+,LONG,0.991,stop,-0.74,0,3.73,419.42,0,91.13,-0.0709,1,1332.5,1,1,1,50.7
