date,side,pnl,win,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr,fib_runway,fib_floor,fib_density,above_P,above_P_pts,near_golden,struct_rr
2024-09-17,LONG,-0.74,0,0.042,4.75,0,75.2,0.0653,1,206.0,1,1,1,42.0,89.5,232.8,1,1,169.8,0,0.38
2024-09-17,LONG,-116.74,0,0.273,7.5,0,73.99,0.1968,1,193.8,1,1,1,38.5,7.5,220.5,1,1,157.5,0,0.03
2024-09-18,LONG,-103.74,0,0.937,0.83,0,48.58,-0.1728,0,-103.0,1,0,0,34.2,103.9,105.6,1,1,0.8,0,0.98
2024-09-18,LONG,-56.24,0,0.477,24.08,0,54.75,-0.0062,0,-79.8,1,1,1,18.3,80.7,128.8,1,1,24.1,0,0.63
2024-09-19,LONG,-119.24,0,2.428,43.67,0,95.97,0.001,1,381.8,1,1,1,39.3,43.7,535.5,0,1,415.7,0,0.08
2024-09-19,LONG,87.76,1,0.731,34.67,0,95.28,0.0535,1,314.5,1,1,1,38.7,110.9,468.3,1,1,348.4,0,0.24
2024-09-23,LONG,-0.74,0,0.247,6.75,0,39.64,-0.0781,1,334.5,1,1,1,40.5,6.8,325.3,1,1,233.5,0,0.02
2024-09-23,LONG,-0.74,0,0.152,11.75,0,39.82,-0.1321,1,329.5,1,1,1,32.8,11.8,320.3,1,1,228.5,0,0.04
2024-09-24,LONG,155.26,1,2.084,19.83,0,48.35,0.1925,0,-34.2,0,0,0,41.5,61.2,21.5,4,0,-19.8,0,2.85
2024-09-25,LONG,-90.24,0,3.379,4.21,0,67.78,0.0875,1,202.5,1,1,1,29.7,17.8,236.0,4,1,135.6,0,0.08
2024-09-25,LONG,-78.24,0,3.575,4.29,0,70.71,0.0054,1,194.0,1,1,1,25.7,4.3,227.5,4,1,127.1,0,0.02
2024-10-02,LONG,-0.74,0,0.997,42.58,0,55.02,-0.2513,0,-133.2,1,0,0,54.2,213.8,128.6,0,0,-42.6,0,1.66
2024-10-02,LONG,177.26,1,0.919,49.58,0,54.35,-0.3112,0,-140.2,1,0,0,51.2,220.8,121.6,0,0,-49.6,0,1.82
2024-10-04,LONG,-0.74,0,1.824,5.82,0,61.21,0.0731,1,142.2,1,1,1,55.5,84.3,241.8,2,1,151.7,0,0.35
