strategy,family,direction,symbol,regime,sharpe,wr,active_days
RSI Momentum,Momentum,LONG,CACI,CHOPPY,0.105,56.8,37
RSI Momentum,Momentum,SHORT,CACI,ALL,-0.146,52.3,130
RSI Momentum,Momentum,SHORT,CACI,STRONG,-0.572,45.2,42
RSI Momentum,Momentum,SHORT,CACI,NORMAL,0.208,66.7,21
RSI Momentum,Momentum,SHORT,CACI,CAUTIOUS,-0.055,47.4,19
RSI Momentum,Momentum,SHORT,CACI,WEAK,0.29,55.6,18
RSI Momentum,Momentum,SHORT,CACI,CHOPPY,-0.033,53.3,30
Donchian/Turtle,Momentum,LONG,CACI,ALL,0.434,53.2,126
Donchian/Turtle,Momentum,LONG,CACI,STRONG,0.006,53.1,32
Donchian/Turtle,Momentum,LONG,CACI,NORMAL,0.175,57.7,26
Donchian/Turtle,Momentum,LONG,CACI,CAUTIOUS,0.084,20.0,15
Donchian/Turtle,Momentum,LONG,CACI,WEAK,0.698,52.6,19
Donchian/Turtle,Momentum,LONG,CACI,CHOPPY,0.224,64.7,34
Donchian/Turtle,Momentum,SHORT,CACI,ALL,0.511,56.8,111
Donchian/Turtle,Momentum,SHORT,CACI,STRONG,-0.352,46.2,39
Donchian/Turtle,Momentum,SHORT,CACI,NORMAL,0.386,72.2,18
Donchian/Turtle,Momentum,SHORT,CACI,WEAK,0.503,53.3,15
Donchian/Turtle,Momentum,SHORT,CACI,CHOPPY,0.264,56.0,25
ADX Trend,Momentum,LONG,CACI,ALL,0.443,50.5,222
ADX Trend,Momentum,LONG,CACI,STRONG,0.868,55.9,59
ADX Trend,Momentum,LONG,CACI,NORMAL,0.572,57.5,40
ADX Trend,Momentum,LONG,CACI,CAUTIOUS,-0.509,37.0,27
ADX Trend,Momentum,LONG,CACI,WEAK,-0.679,36.4,44
ADX Trend,Momentum,LONG,CACI,CHOPPY,0.69,57.7,52
ADX Trend,Momentum,SHORT,CACI,ALL,0.39,53.5,198
ADX Trend,Momentum,SHORT,CACI,STRONG,-0.23,41.5,53
ADX Trend,Momentum,SHORT,CACI,NORMAL,-0.617,54.5,33
ADX Trend,Momentum,SHORT,CACI,CAUTIOUS,0.212,62.1,29
ADX Trend,Momentum,SHORT,CACI,WEAK,1.091,58.5,41
