strategy,family,direction,symbol,regime,sharpe,wr,active_days
RSI Momentum,Momentum,LONG,CIFR,CHOPPY,0.2,47.4,38
RSI Momentum,Momentum,SHORT,CIFR,ALL,-0.789,48.9,94
RSI Momentum,Momentum,SHORT,CIFR,STRONG,-2.149,12.5,24
RSI Momentum,Momentum,SHORT,CIFR,NORMAL,-0.191,52.6,19
RSI Momentum,Momentum,SHORT,CIFR,WEAK,1.682,80.0,20
RSI Momentum,Momentum,SHORT,CIFR,CHOPPY,-0.552,52.4,21
Donchian/Turtle,Momentum,LONG,CIFR,ALL,-0.407,38.6,83
Donchian/Turtle,Momentum,LONG,CIFR,STRONG,1.076,62.5,16
Donchian/Turtle,Momentum,LONG,CIFR,NORMAL,-0.199,40.0,20
Donchian/Turtle,Momentum,LONG,CIFR,CHOPPY,0.35,50.0,20
Donchian/Turtle,Momentum,SHORT,CIFR,ALL,-1.225,43.8,48
ADX Trend,Momentum,LONG,CIFR,ALL,-0.194,42.9,247
ADX Trend,Momentum,LONG,CIFR,STRONG,1.619,66.0,50
ADX Trend,Momentum,LONG,CIFR,NORMAL,0.436,43.2,44
ADX Trend,Momentum,LONG,CIFR,CAUTIOUS,-0.796,27.5,40
ADX Trend,Momentum,LONG,CIFR,WEAK,-2.222,24.4,45
ADX Trend,Momentum,LONG,CIFR,CHOPPY,0.076,47.1,68
ADX Trend,Momentum,SHORT,CIFR,ALL,-0.774,52.7,256
ADX Trend,Momentum,SHORT,CIFR,STRONG,-2.491,34.1,82
ADX Trend,Momentum,SHORT,CIFR,NORMAL,-0.408,51.1,47
ADX Trend,Momentum,SHORT,CIFR,CAUTIOUS,-0.369,50.0,26
ADX Trend,Momentum,SHORT,CIFR,WEAK,2.25,75.0,52
ADX Trend,Momentum,SHORT,CIFR,CHOPPY,0.54,63.3,49
RSI Revert,Reversion,LONG,COHR,ALL,0.814,57.1,56
RSI Revert,Reversion,LONG,COHR,STRONG,2.073,100.0,17
RSI Revert,Reversion,LONG,COHR,WEAK,-1.708,15.8,19
RSI Revert,Reversion,SHORT,COHR,ALL,-0.256,47.5,177
RSI Revert,Reversion,SHORT,COHR,STRONG,-2.472,14.3,42
RSI Revert,Reversion,SHORT,COHR,NORMAL,-1.296,36.7,30
RSI Revert,Reversion,SHORT,COHR,CAUTIOUS,1.163,61.3,31
RSI Revert,Reversion,SHORT,COHR,WEAK,1.262,90.0,30
RSI Revert,Reversion,SHORT,COHR,CHOPPY,-0.019,47.7,44
Zscore Revert,Reversion,LONG,COHR,ALL,0.457,59.4,32
Zscore Revert,Reversion,SHORT,COHR,ALL,1.027,55.1,78
Zscore Revert,Reversion,SHORT,COHR,STRONG,-1.693,20.8,24
Zscore Revert,Reversion,SHORT,COHR,NORMAL,-0.273,53.3,15
Zscore Revert,Reversion,SHORT,COHR,WEAK,1.872,100.0,16
Keltner Revert,Reversion,LONG,COHR,ALL,0.691,55.3,38
Keltner Revert,Reversion,LONG,COHR,WEAK,-0.471,23.5,17
Keltner Revert,Reversion,SHORT,COHR,ALL,0.926,50.4,131
Keltner Revert,Reversion,SHORT,COHR,STRONG,-1.971,27.0,37
Keltner Revert,Reversion,SHORT,COHR,NORMAL,-0.717,39.1,23
